host_response_time;host_response_rate;host_is_superhost;host_listings_count;street;neighbourhood;neighbourhood_cleansed;;;;;;;neighbourhood_group_cleansed;city;state;zipcode;market;smart_location;country_code;country;latitude;longitude;is_location_exact;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;square_feet;price;weekly_price;monthly_price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;calendar_updated;has_availability;availability_30;availability_60;availability_90;availability_365;calendar_last_scraped;number_of_reviews;first_review;last_review;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;requires_license;license;jurisdiction_names;instant_bookable;is_business_travel_ready;cancellation_policy;require_guest_profile_picture;require_guest_phone_verification;calculated_host_listings_count;reviews_per_month;ano;mes;minimum_minimum_nights;maximum_minimum_nights;minimum_maximum_nights;maximum_maximum_nights;minimum_nights_avg_ntm;maximum_nights_avg_ntm;number_of_reviews_ltm;calculated_host_listings_count_entire_homes;calculated_host_listings_count_private_rooms;calculated_host_listings_count_shared_rooms
within an hour;100%;t;1.0;Rio de Janeiro, RJ, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;RJ;22081-025;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.983.592.667.034.500;-4.319.381.929.721.070;t;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Wifi,Breakfast,Elevator,""Free street parking"",Heating,Washer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""Wide entryway""}";861.0;$106.00;$630.00;$2,229.00;$0.00;$0.00;1;$137.00;3;30;3 months ago;t;0;0;0;0;15/04/2018;12;03/11/2017;06/03/2018;97.0;10.0;10.0;10.0;10.0;10.0;10.0;f;;;t;f;strict;f;f;1;2.2;2018;4;;;;;;;;;;
within an hour;100%;f;7.0;Rio, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio;Rio de Janeiro;22021;Rio De Janeiro;Rio, Brazil;BR;Brazil;-22.964.674.754.014.800;-431.744.184.568.611;t;Apartment;Entire home/apt;11;3.5;4.0;6.0;Real Bed;"{""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Family/kid friendly"",""Suitable for events"",Washer}";;$557.00;;;$650.00;$200.00;8;$80.00;3;750;2 days ago;t;15;45;62;320;14/04/2018;2;01/08/2015;13/08/2015;80.0;8.0;6.0;8.0;8.0;8.0;6.0;f;;;f;f;strict_14_with_grace_period;f;f;6;0.06;2018;4;;;;;;;;;;
within a few hours;90%;f;51.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22071-020;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.297.934.047.183.970;-4.319.112.518.175.480;t;Apartment;Entire home/apt;3;1.0;0.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection""}";;$154.00;;;$0.00;$171.00;2;$17.00;3;90;a week ago;t;4;7;37;281;15/04/2018;63;24/11/2012;14/02/2018;93.0;9.0;9.0;10.0;10.0;9.0;9.0;f;;;t;f;strict;f;f;51;0.96;2018;4;;;;;;;;;;
within an hour;94%;f;6.0;Rio de Janeiro, Rio de Janeiro, Brazil;Ipanema;Ipanema;;;;;;;;Rio de Janeiro;Rio de Janeiro;22411-010;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.985.507.029.960.600;-4.320.409.638.380.850;t;Apartment;Entire home/apt;8;4.0;3.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Front desk/doorperson"",Crib,""Room-darkening shades"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Beach essentials"",""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance"",""Wide clearance to bed"",""Host greets you"",""Paid parking on premises""}";;$844.00;;$37,895.00;$2,105.00;$211.00;4;$126.00;2;89;today;t;14;35;65;330;14/04/2018;50;06/08/2011;12/04/2018;89.0;9.0;9.0;9.0;9.0;10.0;9.0;f;;;t;f;strict;f;f;5;0.61;2018;4;;;;;;;;;;
within a few hours;100%;f;1.0;Rio de Janeiro, Rio de Janeiro, Brazil;Barra da Tijuca;Barra da Tijuca;;;;;;;;Rio de Janeiro;Rio de Janeiro;22631;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-23.010.607.633.886.700;-433.407.272.791.042;f;Serviced apartment;Entire home/apt;4;1.5;2.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Self check-in"",""Front desk/doorperson"",""Hot water"",""Long term stays allowed"",Beachfront}";1076.0;$301.00;;$8,000.00;$500.00;$140.00;4;$150.00;4;2000;2 weeks ago;t;28;58;88;178;15/04/2018;8;31/07/2017;21/02/2018;100.0;10.0;9.0;10.0;10.0;10.0;10.0;f;;;f;f;strict;f;f;1;0.93;2018;4;;;;;;;;;;
within a day;70%;f;4.0;Rio de Janeiro, Rio de Janeiro, Brazil;Barra da Tijuca;Barra da Tijuca;;;;;;;;Rio de Janeiro;Rio de Janeiro;22641;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.300.307.495.204.610;-4.330.911.201.234.120;f;House;Entire home/apt;12;7.0;4.0;7.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Breakfast,""Pets live on this property"",Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets""}";;$2,123.00;;;;$514.00;1;$0.00;1;730;4 months ago;t;30;60;90;365;15/04/2018;7;27/11/2015;08/01/2017;91.0;10.0;10.0;10.0;9.0;9.0;9.0;f;;;f;f;strict;f;f;4;0.24;2018;4;;;;;;;;;;
within an hour;100%;t;2.0;Rio de Janeiro, RJ, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;RJ;21031-300;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.981.082.418.797.400;-4.319.077.642.991.390;t;Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Private entrance"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Step-free access"",""Accessible-height toilet"",Waterfront,Beachfront}";;$143.00;;;$324.00;$135.00;2;$100.00;3;1125;yesterday;t;29;59;89;364;14/04/2018;97;08/08/2012;10/04/2018;93.0;9.0;10.0;10.0;10.0;10.0;9.0;f;;;t;f;strict;f;f;2;1.4;2018;4;;;;;;;;;;
within a day;100%;f;21.0;Joatinga, Rio de Janeiro, Brazil;Joá;Joá;;;;;;;;Joatinga;Rio de Janeiro;22611-170;Rio De Janeiro;Joatinga, Brazil;BR;Brazil;-2.300.824.889.982.350;-4.329.196.227.282.900;t;House;Entire home/apt;10;5.0;4.0;6.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials}";;$854.00;;$13,660.00;$2,732.00;$205.00;4;$154.00;2;365;10 months ago;t;28;58;88;363;15/04/2018;13;27/11/2011;05/03/2017;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;;;f;f;strict;t;t;19;0.17;2018;4;;;;;;;;;;
within a few hours;100%;f;1.0;Rio de Janeiro, RJ, Brazil;Ipanema;Ipanema;;;;;;;;Rio de Janeiro;RJ;22411-030;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.981.808.499.143.800;-4.320.207.447.846.780;f;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";;$79.00;;;$500.00;$100.00;1;$0.00;5;1125;3 months ago;t;0;0;0;105;15/04/2018;3;09/02/2013;07/01/2015;90.0;8.0;8.0;9.0;9.0;10.0;8.0;f;;;f;f;strict;t;t;1;0.05;2018;4;;;;;;;;;;
within a few hours;100%;f;2.0;Rio de Janeiro, Rio de Janeiro, Brazil;Flamengo;Flamengo;;;;;;;;Rio de Janeiro;Rio de Janeiro;22220-030;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.930.459.638.444.700;-43.174.499.045.394.600;f;Apartment;Entire home/apt;6;2.0;4.0;4.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,Heating,""Family/kid friendly"",Washer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Host greets you"",Beachfront}";1938.0;$758.00;;;$589.00;$211.00;5;$118.00;7;365;3 months ago;t;8;8;20;192;14/04/2018;8;05/01/2011;17/07/2014;94.0;10.0;10.0;10.0;10.0;10.0;9.0;f;;;f;f;strict;t;t;2;0.09;2018;4;;;;;;;;;;
;;f;3.0;Rio de Janeiro, Rio de Janeiro, Brazil;Ipanema;Ipanema;;;;;;;;Rio de Janeiro;Rio de Janeiro;22411-030;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.298.021.389.833.300;-4.320.232.434.530.230;f;Apartment;Entire home/apt;4;3.0;2.0;5.0;Real Bed;"{TV,""Cable TV"",Internet,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Washer,Dryer}";969.0;$1,298.00;;;;;1;$0.00;2;30;3 months ago;t;23;53;83;358;15/04/2018;0;;;;;;;;;;f;;;f;f;flexible;f;f;3;;2018;4;;;;;;;;;;
;;f;1.0;Rio de Janeiro, Rio de Janeiro, Brazil;Ipanema;Ipanema;;;;;;;;Rio de Janeiro;Rio de Janeiro;22411-030;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.298.178.307.520.960;-4.320.076.497.509.290;t;Apartment;Entire home/apt;4;3.0;2.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Breakfast,Elevator,""Hot tub"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",""Luggage dropoff allowed"",""Step-free access"",""Wide clearance to bed""}";969.0;$400.00;;;;;1;$0.00;1;30;3 months ago;t;30;60;90;365;14/04/2018;12;09/03/2011;09/01/2017;96.0;10.0;10.0;10.0;10.0;10.0;9.0;f;;;f;f;strict;f;f;1;0.14;2018;4;;;;;;;;;;
within an hour;94%;f;6.0;Rio de Janeiro, Rio de Janeiro, Brazil;Ipanema;Ipanema;;;;;;;;Rio de Janeiro;Rio de Janeiro;22411-010;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.986.233.139.187.800;-4.320.352.791.940.840;t;Apartment;Entire home/apt;6;3.0;3.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox}";;$1,728.00;;$63,159.00;$2,105.00;$211.00;3;$126.00;2;89;today;t;16;38;68;334;14/04/2018;45;13/02/2011;18/12/2017;87.0;8.0;9.0;9.0;9.0;10.0;8.0;f;;;t;f;strict;f;f;5;0.52;2018;4;;;;;;;;;;
within an hour;96%;t;3.0;Rio, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio;Rio de Janeiro;;Rio De Janeiro;Rio, Brazil;BR;Brazil;-22.982.817.069.184.200;-4.319.571.177.528.830;f;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";;$151.00;;$3,900.00;;;2;$46.00;3;89;yesterday;t;12;24;50;241;15/04/2018;116;20/03/2011;05/04/2018;97.0;10.0;10.0;10.0;10.0;10.0;9.0;f;;;t;f;strict;f;f;3;1.35;2018;4;;;;;;;;;;
;;f;1.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22070-011;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.984.982.857.327.900;-4.319.135.454.377.810;t;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",""Private entrance""}";;$99.00;;;$512.00;$51.00;1;$34.00;1;365;2 weeks ago;t;30;60;90;365;14/04/2018;79;26/01/2011;22/11/2017;93.0;10.0;9.0;10.0;10.0;10.0;9.0;f;;;f;f;strict;f;f;1;0.9;2018;4;;;;;;;;;;
within an hour;100%;f;10.0;Rio de Janeiro, Rio de Janeiro, Brazil;Botafogo;Botafogo;;;;;;;;Rio de Janeiro;Rio de Janeiro;22250-040;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.945.083.234.481.600;-4.318.162.271.107.670;t;Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Pets allowed"",Doorman,Elevator,""Family/kid friendly"",Essentials,Hangers,Iron,""Laptop friendly workspace""}";258.0;$164.00;;;$0.00;$106.00;2;$106.00;3;365;2 months ago;t;0;0;0;0;15/04/2018;70;08/12/2011;15/08/2016;86.0;9.0;8.0;9.0;9.0;9.0;9.0;f;;;t;f;strict;f;f;1;0.9;2018;4;;;;;;;;;;
